P03888
P03893
P00397
P00405
P03930
P00848
P00416
P03899
P03903
P03911
P03921
P03925
P00158
O35698
O35698
O35698
O35698
O35698
O35698
O35698
Q60990
Q60990
P10925
P10925
P31254
P31254
Q62240
Q62240
Q9Z0N2
Q62095
F8VPU6
P20662
P20662
Q05738
O35698
O35698
Q76EC5
P15116
Q7TSG1
Q7TSG1
Q8C4X2
P55850
P55850
Q56A10
Q6PEM6
P55292
P55292
P55849
Q7TSF0
Q61495
Q7TSF1
Q9DBF1
Q9DBF1
Q7TMD7
Q9JJT9
Q9D9I1
P14733
Q8BRX9
Q9CWB7
Q9CWB7
O55111
P07309
Q9WVK5
Q8CG46
Q8CG46
Q6DIB5
Q9CQC3
B2RUJ5
Q9D9R0
B2RUJ5
Q9D9R0
Q4FZH1
Q9CQE0
Q9CQE0
Q9CQE0
Q9CQE0
Q61847
Q3UFT3
Q3UFT3
Q9Z0U1
Q9Z0U1
O35943
Q61555
P70181
P70181
Q9DB52
Q69ZK5
Q8C353
Q69ZK5
Q8BZF8
E9Q9W4
Q60688
Q91V64
P59509
O88495
Q8CDV0
Q8CDV0
Q8CDV0
Q78T54
Q8C4X7
Q8C4X7
Q8C4X7
Q8C4X7
Q5DTK1
Q5DTK1
Q8K4K3
Q3SYK4
Q3SYK4
Q3SYK4
P34968
Q3USQ7
Q3USQ7
P34968
O08633
Q9D3I6
P60954
Q9WTV7
Q9CWD8
Q9WTV7
P60954
Q8R1Y2
Q9Z0J0
Q9CQC7
Q9DCB8
Q8BHS3
P97393
P97393
Q6PAQ9
Q6PAQ9
Q5DTT1
Q8BJ34
Q5DTT1
Q80XB4
Q5DTT1
Q80XB4
Q8CEK7
Q80XB4
Q8CEK7
Q62356
Q3UGP9
O88786
Q8VEH6
O88786
Q62398
P97864
Q9WV60
Q61102
B1AVZ0
Q9D2N4
Q8C147
Q8BGJ0
Q9CZA6
Q9CZA6
E9Q238
Q9CZA6
Q8R001
Q8R001
Q9QZ59
Q9QZ59
P26049
Q80WT2
Q8BG36
P15620
Q91VN1
Q91VN1
Q8BZW8
P34971
Q8BHA0
Q8C7V8
Q8C9S4
Q60996
Q8C9S4
Q60996
Q60996
Q60996
O08912
O08912
O08912
Q7M6Y6
P08228
Q5XFZ0
Q8VDS4
Q8K212
Q9D823
P18111
Q3UMG5
Q8CHG5
Q5EG47
Q7TSH6
Q7TSH6
Q7TSH6
Q9D0B6
Q9D0B6
Q6PCZ4
Q8VHJ7
Q9ESL8
Q8VHJ7
Q3UJB0
O88866
Q3U1N2
Q3U1N2
P61315
Q9CZJ6
Q9JHU4
Q9D159
Q91ZR5
Q9CTH6
Q7TSY6
Q7TSY6
Q7TSY6
Q61687
Q7TSY6
P07901
Q8BJS8
P07901
Q8BJS8
Q7TSY6
Q8BJS8
J3QNX5
Q99L88
Q99L88
Q9D6K7
Q9D6K7
Q9D6K7
P70312
P32240
Q99MV1
Q99MV1
Q99MV1
Q8BGX4
Q99MV1
Q8R0S9
Q8R0S9
O54962
O54962
Q8C0C0
O54962
Q3THJ3
Q99J56
Q5XG69
Q5XG69
Q6PF93
Q9CQY5
Q9CQY5
Q9CQY5
Q9CR47
Q6NXY1
P70425
Q9CZS3
P56393
Q9QXT6
Q70UZ7
Q8C7K6
O88396
Q9Z315
P58659
Q68G58
Q68G58
P58659
Q4VAE3
Q8BZI0
Q8BG71
Q8BL95
P08680
Q9D6N5
P0C673
P70310
Q715T0
Q69ZX8
Q8VD62
Q715T0
Q69ZX8
Q8VD62
Q9D3N2
P48755
Q9D3N2
Q6PDY0
Q9D3N2
Q9D3N2
Q7TQP0
Q80VA5
Q80VA5
P18762
Q64430
Q9R0I7
Q6R5N8
O35298
Q9WVS4
P09411
Q8BII1
Q8BII1
Q6NZA9
Q8K4P0
Q5DTU0
Q9CSV6
Q5DTU0
P62892
Q9D2M8
Q9D2M8
P97288
P97288
P97288
Q8BR63
P56473
Q9JI19
P56473
P49717
Q91XD2
Q6NS65
Q9D0V8
P56203
Q68FE6
Q9D0F4
P58501
Q8R326
Q61164
Q8R326
O35683
Q99MZ6
Q6P8M1
Q9D4G1
Q9D4G1
Q9D2G2
Q9D2G2
Q9CQJ8
Q8R2Q4
P06683
Q9QYB2
Q9QYB2
Q9WVJ9
Q8C1D8
Q9WVJ9
Q6DFV6
Q8R2Q4
Q99JA4
Q99JA4
P33587
Q8R2Q4
Q3U2E2
Q3U2E2
Q3U2E2
P33587
O35601
P20060
Q8K0L9
Q6P1Y1
Q8K0L9
Q91ZJ0
Q8BLG2
Q3UHK3
Q8K0L9
Q8K0L9
Q8K0L9
Q8BFU7
Q8BFU7
P49135
Q3UHK3
P22387
Q9JK24
Q78HU7
Q9JIE6
Q80ZJ7
Q9EPQ8
Q9EPQ8
P59328
Q8R2S1
Q9WTJ2
Q9R0L6
Q9R0L6
Q91ZA6
Q3TAP4
Q3TAP4
P49764
Q3U507
Q9CQ18
Q3U507
Q3U507
Q3U507
Q3U507
Q9CU65
Q8BH93
Q8BH93
Q5EE38
Q61500
Q497K7
Q9D593
Q9D593
Q9D593
Q8R527
Q99LD9
Q9WV54
Q07475
Q07475
Q07475
Q07475
P97313
P0C913
O09101
Q6QI06
Q8K2Y7
O70333
Q9Z101
P30728
Q9Z101
Q9Z101
Q8K0Q5
Q91VT1
P97433
Q9CQ25
P97433
Q9CQ25
Q00322
Q8K402
Q91VT1
O54928
P97376
P52963
Q923X1
Q8K4K4
Q8K4K4
Q9CR11
Q8JZY4
Q8JZY4
Q7TSV9
Q9CQD4
Q9D4A5
Q9D4A5
P08905
P17897
Q9CQH3
Q8BGX7
Q8K5B2
Q8K5B2
Q8R4V1
Q8K5B2
Q9JKN1
Q6P1E1
Q6P1E1
Q8R4V1
