P10126
P00397
P11679
Q921I1
Q8VEN2
P63260
P58252
P00416
P01101
P00158
P05784
P13346
P48678
P0CG50
P03911
P11499
P03888
P21956
P60710
P19001
P14869
P19228
O35054
P11672
P63028
P03921
P06796
Q9D8E6
Q07079
Q99JW5
P63089
P05627
P84244
Q9QZI9
P62702
P26350
Q60670
P03893
P47955
P68040
P97351
Q9R0L9
P63017
Q60765
Q99JZ7
P00405
P00848
P29341
P15037
P14148
P08046
P09450
P20029
P0CG49
P26040
O35988
Q62167
P18406
O89051
P47911
Q61207
P97287
Q64337
P01899
P02798
P62242
Q9CPR4
P10923
P07901
Q8VDN2
P47801
P51410
P62849
P12970
P62908
Q08501
P56480
P97461
Q9WVC6
P84099
P62947
Q61001
Q6ZWN5
P09405
P48024
P02802
P10107
P62751
O35710
P62918
P20065
Q06890
P61255
P08071
P60843
P17879
O70456
P46412
P10598
P42227
P62911
P62264
P62843
P40240
O70251
Q9CZX8
P12023
P03930
P09528
P24807
Q9D8N0
Q7TNB8
P57780
P17742
P23949
Q61937
P63325
P62830
P61979
P62754
P19182
P14211
P63276
P07356
O35737
Q7JJ13
P21981
Q9QXM0
P46935
Q04211
Q9Z1E3
O35185
P31809
Q62433
P15105
P62983
Q8BTI8
Q8VDJ3
Q02248
P62245
Q9D915
Q8K4K4
P63101
P01901
Q8BG60
O35326
P01887
P35980
P47930
P63323
P62892
Q03385
Q03265
P52480
P01027
Q8VDD5
P09103
P15066
Q02257
Q06507
P03925
Q9CX66
Q99020
P62281
O89113
P27773
Q6ZWU9
P47963
P31955
Q9D975
Q9D2C7
P99027
P35700
Q9CXW4
P08113
P06151
P62855
P22893
O55143
P10630
P10605
P63242
Q8BK63
P97434
Q63739
Q7TSC1
O09167
P18242
P05213
Q60665
Q9Z0F1
Q6R0H7
Q6R0H6
P63094
Q8BHY3
P28563
Q9R0P5
Q02862
P61514
O54804
Q9CQR2
P09056
P59325
Q8VEM8
Q9Z2X1
Q64152
Q6NZJ6
A2A8L5
Q68FD5
P56677
P62259
P84244
P12813
Q62093
O54791
Q8BP67
P21107
P63001
Q5NCY0
O35973
Q60793
Q03145
P47964
Q9DCV7
P84078
Q8VIJ6
P03903
P62500
Q8VH51
P49312
Q9QX47
Q62556
Q3U1J4
P97792
P17225
Q8CFE6
P84104
Q9R0M4
O88452
Q60817
P70670
P16546
Q99P72
Q75N73
Q9QXS1
Q9JLJ0
Q9DBB1
Q9ERH8
Q8BGD9
P50543
P56959
O09110
P67984
P53351
P13597
